,Unnamed: 0,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year
90,90,91,Nigeria,5.155,0.6890000000000001,1.172,0.048,0.462,0.201,0.032,2018
91,91,92,Kyrgyzstan,5.131,0.53,1.416,,0.54,0.281,0.035,2018
92,92,93,Bosnia and Herzegovina,5.129,0.915,1.078,,0.28,0.21600000000000005,0.0,2018
93,93,94,Mongolia,5.125,0.914,1.517,,0.395,0.253,0.032,2018
94,94,95,Vietnam,5.103,0.715,1.365,,0.618,0.177,0.079,2018
95,95,96,Indonesia,5.093,0.899,1.215,,0.5379999999999999,0.484,0.018000000000000002,2018
96,96,97,Bhutan,5.082,0.7959999999999999,1.335,,0.541,0.364,0.171,2018
97,97,98,Somalia,4.982,0.0,0.7120000000000001,,0.674,0.238,0.282,2018
98,98,99,Cameroon,4.975,0.535,0.8909999999999999,,0.454,0.183,0.043,2018
99,99,100,Bulgaria,4.933,1.054,1.515,,0.359,0.064,0.009000000000000001,2018
100,100,101,Nepal,4.88,0.425,1.228,,0.526,0.302,0.078,2018
101,101,102,Venezuela,4.806,0.996,1.469,,0.133,0.056,0.052000000000000005,2018
102,102,103,Gabon,4.758,1.036,1.164,,0.35600000000000004,0.032,0.052000000000000005,2018
103,103,104,Palestinian Territories,4.743,0.642,1.217,,0.266,0.086,0.076,2018
104,104,105,South Africa,4.724,0.94,1.41,,0.516,0.103,0.056,2018
105,105,106,Iran,4.707,1.0590000000000002,0.7709999999999999,,0.459,0.282,0.129,2018
106,106,107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.146,0.103,2018
107,107,108,Ghana,4.657,0.5920000000000001,0.8959999999999999,,0.499,0.212,0.029,2018
108,108,109,Senegal,4.631,0.429,1.117,,0.406,0.138,0.08199999999999999,2018
109,109,110,Laos,4.623,0.72,1.034,,0.626,0.23,0.174,2018
110,110,111,Tunisia,4.592,0.9,0.906,,0.271,0.04,0.063,2018
111,111,112,Albania,4.586,0.916,0.8170000000000001,,0.419,0.149,0.032,2018
112,112,113,Sierra Leone,4.5710000000000015,0.256,0.813,0.0,0.355,0.238,0.053,2018
113,113,114,Congo (Brazzaville),4.559,0.682,0.8109999999999999,,0.514,0.091,0.077,2018
114,114,115,Bangladesh,4.5,0.532,0.85,,0.58,0.153,0.14400000000000002,2018
115,115,116,Sri Lanka,4.471,0.918,1.314,,0.585,0.307,0.05,2018
116,116,117,Iraq,4.456,1.01,0.971,,0.304,0.14800000000000002,0.095,2018
117,117,118,Mali,4.447,0.37,1.233,,0.3670000000000001,0.139,0.056,2018
118,118,119,Namibia,4.441,0.8740000000000001,1.281,,0.519,0.051,0.064,2018
119,119,120,Cambodia,4.433,0.5489999999999999,1.088,,0.696,0.256,0.065,2018
120,120,121,Burkina Faso,4.424,0.314,1.097,,0.312,0.175,0.128,2018
121,121,122,Egypt,4.419,0.885,1.025,,0.312,0.092,0.107,2018
122,122,123,Mozambique,4.417,0.198,0.902,,0.531,0.206,0.158,2018
123,123,124,Kenya,4.41,0.493,1.048,,0.504,0.35200000000000004,0.055,2018
124,124,125,Zambia,4.377,0.562,1.047,,0.503,0.221,0.08199999999999999,2018
125,125,126,Mauritania,4.356,0.557,1.245,,0.129,0.134,0.093,2018
126,126,127,Ethiopia,4.35,0.308,0.95,,0.452,0.22,0.146,2018
127,127,128,Georgia,4.34,0.853,0.5920000000000001,,0.375,0.038,0.215,2018
128,128,129,Armenia,4.3210000000000015,0.816,0.99,,0.26,0.077,0.028,2018
129,129,130,Myanmar,4.308,0.682,1.1740000000000002,,0.58,0.598,0.17800000000000002,2018
130,130,131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,2018
131,131,132,Congo (Kinshasa),4.245,0.069,1.136,,0.312,0.197,0.052000000000000005,2018
132,132,133,India,4.19,0.721,0.747,,0.539,0.172,0.093,2018
133,133,134,Niger,4.166,0.131,0.867,,0.39,0.175,0.099,2018
134,134,135,Uganda,4.1610000000000005,0.322,1.09,,0.45,0.259,0.061,2018
135,135,136,Benin,4.141,0.378,0.3720000000000001,,0.44,0.163,0.067,2018
136,136,137,Sudan,4.1389999999999985,0.605,1.24,,0.016,0.134,0.08199999999999999,2018
137,137,138,Ukraine,4.103,0.7929999999999999,1.413,,0.163,0.187,0.011,2018
138,138,139,Togo,3.999,0.259,0.474,,0.434,0.158,0.101,2018
139,139,140,Guinea,3.964,0.344,0.792,,0.394,0.185,0.094,2018
140,140,141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,2018
141,141,142,Angola,3.795,0.73,1.125,,0.0,0.079,0.061,2018
142,142,143,Madagascar,3.774,0.262,0.908,,0.221,0.155,0.049,2018
143,143,144,Zimbabwe,3.692,0.35700000000000004,1.094,,0.406,0.132,0.099,2018
144,144,145,Afghanistan,3.632,0.332,0.537,,0.085,0.191,0.036000000000000004,2018
145,145,146,Botswana,3.59,1.017,1.1740000000000002,,0.557,0.042,0.092,2018
146,146,147,Malawi,3.587,0.18600000000000005,0.541,,0.531,0.21,0.08,2018
147,147,148,Haiti,3.582,0.315,0.7140000000000001,,0.025,0.392,0.104,2018
148,148,149,Liberia,3.495,0.076,0.858,,0.419,0.206,0.03,2018
149,149,150,Syria,3.462,0.6890000000000001,0.382,,0.08800000000000001,0.376,0.14400000000000002,2018
150,150,151,Rwanda,3.408,0.332,0.8959999999999999,,0.636,0.2,0.444,2018
151,151,152,Yemen,3.355,0.442,1.073,,0.244,0.083,0.064,2018
152,152,153,Tanzania,3.303,0.455,0.991,,0.481,0.27,0.097,2018
153,153,154,South Sudan,3.254,0.337,0.608,,0.112,0.224,0.106,2018
154,154,155,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2018
155,155,156,Burundi,2.905,0.091,0.627,,0.065,0.149,0.076,2018
156,0,1,Finland,7.769,1.34,1.587,,0.596,0.153,0.393,2019
157,1,2,Denmark,7.6,1.383,1.5730000000000002,,0.5920000000000001,0.252,0.41,2019
158,2,3,Norway,7.5539999999999985,1.4880000000000002,1.582,,0.603,0.271,0.341,2019
159,3,4,Iceland,7.494,1.38,1.624,,0.591,0.354,0.118,2019
160,4,5,Netherlands,7.487999999999999,1.396,1.5219999999999998,,0.557,0.322,0.298,2019
161,5,6,Switzerland,7.48,1.452,1.526,,0.5720000000000001,0.263,0.343,2019
162,6,7,Sweden,7.343,1.3869999999999998,1.487,,0.574,0.267,0.373,2019
